Name,Price,Rating,Brand,Page,Processor,RAM,Storage,Display,Graphics,Operating_System
"Lenovo Smartchoice Yoga Slim 7 Intel Core Ultra 5 125H Built-in AI 14""(35.5cm) WUXGA-OLED 400Nits Laptop (16GB/512GB SSD/60Hz/100% DCI-P3/Win11/MSO 21/1Yr ADP Free/Alexa/Grey/1.39Kg), 83CV003MIN","75,990",,Lenovo,5,Intel Core Ultra 5 125H Built-in AI 14,,512GB SSD,,,
"Lenovo LOQ 2024, AMD Ryzen 7 7435HS, NVIDIA RTX 4060-8GB, 24GB RAM, 512GB SSD, 15.6""/39.6cm, Windows 11, MS Office Home 2024, Grey, 2.4Kg, 83JC00EHIN, 100% sRGB, 3 Mon. Game Pass Gaming Laptop","90,151",,Lenovo,5,AMD Ryzen 7 7435HS,24 GB,512GB SSD,,,Windows 11
"Microsoft New Surface Pro (11Th Edition) - Windows 11 Home Copilot + Pc - 13"" LCD Pixelsense Touchscreen - Qualcomm Snapdragon X Plus (10 Core,Wi-Fi) - 16Gb Ram - 256Gb Ssd - Platinum - Zhx-00014","1,08,990",,Microsoft,5,,16 GB,256Gb Ssd,,,Windows 11 Home
"Lenovo V14 G4 (2024), Intel Core i3 13th Gen 1315U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office","34,970",,Lenovo,5,Intel Core i3 13th Gen 1315U - ,,512GB SSD,"14.0"" FHD",Intel UHD Graphics,Windows 11 Home
"Logitech M186 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous, Compatible with PC, Mac, Laptop",499,,Logitech,5,,,,,,
"Florican Portable Invisible Laptop Riser Stand | Mini Aluminum Cooling Pad, Lightweight Laptop Desk Stand for MacBook, Lenovo, Dell, HP & Other Laptops (Cool Silver)",269,,Florican,5,,,,,,
"Wembley Educational Laptop for Kids Toys for 2-5 Years Learning Activity Computer Educational Toy for 3 Years Old Boy Learn Alphabet,Letter,Words,Games,Mathematics,Music,Logic Memory Tool,Multicolour",849,,Wembley,5,,,,,,
"SWISS MILITARY 30L Unisex Laptop Travel Backpack for 15.6-Inch Laptops – with Luggage Strap, Detachable Key Ring, Anti-Theft Pocket, Expandable Bottle Pocket for Office and College Use","1,549",,SWISS,5,,,,,,
"smashtronics Premium Metal Laptop Stand - Foldable, Height Adjustable Aluminum Note Book Stand (Steel Grey)",369,,smashtronics,5,,,,,,
"PLIXIO Adjustable Laptop Stand with 360° Rotating Base Tabletop Ergonomic Foldable Portable Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Sliver)","2,298",,PLIXIO,5,,,,,,
"acer Professional 14, Intel Core i7-1355U Turbo Boost, 32GB RAM, 1TB SSD, 14"" Full HD, Windows 11 Pro, MSO 21, 1.34KG, Backlite KB, Finger Print, Metal Body, 3 Year Warranty, TL14-52M, Light Laptop","78,990",,acer,5,Intel Core i7-1355U Turbo Boost,32 GB,1TB SSD,,,Windows 11 Pro
"Lenovo LOQ 2024 12Th Gen Intel Core I5-12450HX | NVIDIA RTX 2050 4GB (12GB RAM/512GB SSD/15.6"" (39.6Cm)/Windows 11/Office Home 2024/100% Srgb/3 Mon. Game Pass/Grey/2.4Kg), 83GS00LJIN Gaming Laptop","62,990",N/A,Lenovo,5,Intel Core I5-12450HX ,12 GB,512GB SSD,,,Windows 11
"Ant Esports NC160 Laptop Cooling Pad, Laptop Cooler with Mobile Holder 2 * 1 125mm Quite Fans at 1000 RPM Fan Speed Controller 5 Height Adjustable Angle 2USB Ports Compatible for Laptop up to 15.6”",549,,Ant,5,,,,,,
"VEBETO Educational Laptop for Kids (1 Year Warranty) w/ Mouse Games 20 Fun Computer Activity Learning Toy for 2 3 4 5 Years Boys Girls Learn Letters Words Mathematics Music Logic Memory Tool, Blue",898,,VEBETO,5,,,,,,
"amazon basics Laptop Stand, Height-Adjustable, Foldable, Portable, Ventilated, Fits Up to 15.6-Inch Laptops (Aluminium Alloy, Silver)",262,,amazon,5,,,,,,
"Dell MS116 Wired Optical Mouse, 1000DPI, LED Tracking, Scrolling Wheel, Plug and Play",309,,Dell,5,,,,,,
Aristocrat 25L Nova 3 Compartment Laptop Backpack - Black/School Bag,335,,Aristocrat,5,,,,,,
"Gooyo GY1041 Plug & Play Notebook Computer Toy with 30 Fun Activities | Educational Toy Laptop for Kids | Grey Color, Dual Power Supply Source: Micro USB Cable (Included) & 3xAA Battery (Not Included)","1,799",N/A,Gooyo,5,,,,,,
Lapcare DCX-A101 ChillMate Laptop Cooler (Black),649,,Lapcare,5,,,,,,
"ARZOPA 15.6'' FHD 1080P Portable Monitor with Kickstand,60Hz Ultra-Slim Portable Laptop Monitor with Speaker- IPS Eye Care Display for PC, MacBook, Mobile, Xbox, PS5 - USB C & HDMI Connectivity","12,880",,ARZOPA,5,,,,,,
"CHUWI CoreBook X Laptop 12thGen i3-1220P Processor, 8GB DDR4 RAM and 512GB SSD, Intel® UHD Graphics,14.0"" FHD IPS Display, Backlit Keyboard, Windows 11 Home, WIFI6, BT5.2, 3.5MM Jack, Metal Body, Grey","25,990",,CHUWI,5,,8 GB,512GB SSD,"14.0"" FHD",,Windows 11 Home
"Lenovo IdeaPad Slim 3 AMD Ryzen™ 3 7320U 14"" FHD Thin and Light Laptop (8 GB/512GB SDD/Windows 11 Home/Office Home & Student 2021/1Yr Warranty/Arctic Grey/1.37Kg), 82XN006MIN","29,990",,Lenovo,5,,,,"14"" FHD",,Windows 11 Home
"Lenovo LOQ 2024 12Th Gen Intel Core I5-12450HX | NVIDIA RTX 3050 6GB (16GB RAM/512GB SSD/15.6"" (39.6Cm)/Windows 11/Office Home 2024/100% Srgb/3 Mon. Game Pass/Grey/2.4Kg), 83GS00LNIN Gaming Laptop","70,490",,Lenovo,6,Intel Core I5-12450HX ,16 GB,512GB SSD,,,Windows 11
"Lenovo ThinkBook 16 Intel 13th Gen Core i5 16"" (40.64cm) WUXGA 300 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Win 11 Home/Office 2021/Backlit Keyboard/Arctic Grey/1.7 Kg), 21KHA0J6IN","59,990",,Lenovo,6,,,512GB SSD,,,
Amazon Basics USB Powered Laptop Cooling Pad | Dual Fan | Dual USB Port | Blue LED Lights | 4 Adjustable Heights with Stand |,399,,Amazon,6,,,,,,
"EvoFox Blizzard RGB Cooling Pad for Gaming Laptop with Transparent Upper Surface, 2 Large Fans, 8 Adjustable Angles, Edge RGB Lighting, Additional USB Port for Laptops up to 43.18 cm (17 inches)","1,599",,EvoFox,6,,,,,,
"Asus Ad45-00B 45W Laptop Charger/Adapter for Select Models for Asus-20 V,2.5 A,4 Mm X 1.2Mm Diam-Black","1,449",,Asus,6,,,,,,
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",546,,FUR,6,,,,,,
Storite 1.5M Black 3 Pin Laptop Power Cable 18AWG Universal Replacement for Charger Adapter Power Cord for Laptop,298,,Storite,6,,,,,,
"Mokobara The Em Laptop Sleeve Compatible with 14 & 15.6"" inch Laptop, MacBook & Notebook | Padded Laptop Compartment with Luggage Sleeve (14 Inch, Black","1,149",,Mokobara,6,,,,,,
Simmtronics 8GB DDR3L Laptop RAM 1600 MHz (PC 12800) with 3 Year Warranty,660,,Simmtronics,6,,,,,,
"Dell Genuine Original Laptop Adapter Charger 65w 19.5V 3.34A (New Pin 4.5 * 3.0mm) MGJN9 for Inspiron 11 3147, 3148, 3152, i3152, 3153, 3157, 3158, 316 (with 3 Pin Power Cable)","1,424",,Dell,6,,,,,,
"hp 15, 13th Gen Intel Core i5-1335U with Turbo Boost, 16GB DDR4, 512GB SSD, (Win 11 Pro, MSO21, Black, 1.6 kg), 15.6-inch (39.6 cm) HD Laptop UHD Graphics, HD Camera, 250 G9","55,990",,hp,6,Intel Core i5-1335U with Turbo Boost,,512GB SSD,,,
"Lenovo V14 G3 14"" FHD Laptop, Intel Core i5-1235U, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11, Ms-Office Lifetime Validity, Iron Grey,1.6kg, 1 Year Onsite Brand Warranty","41,990",,Lenovo,6,Intel Core i5-1235U,16 GB,512GB SSD,"14"" FHD",Intel Iris Xe Graphics,Windows 11
"SWISS MILITARY 30L Unisex Laptop Travel Backpack for 15.6-Inch Laptops – with Luggage Strap, Detachable Key Ring, Anti-Theft Pocket, Expandable Bottle Pocket for Office and College Use","1,549",,SWISS,6,,,,,,
"PLIXIO Adjustable Laptop Stand with 360° Rotating Base Tabletop Ergonomic Foldable Portable Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Sliver)","3,999",,PLIXIO,6,,,,,,
"Ambrane 7-in-1 Cleaning Kit | All-in-One Keyboard Cleaning Kit with Brush & Cleaner for Bluetooth, AirPods, Laptop, Tablet, Phone, iPad, Smartwatch, MacBook, Earbuds & PC Accessories (ACK-02 White)",249,,Ambrane,6,,,,,,
"New Microsoft Surface Pro9 13"" Intel evo 12 Gen i7 / 16GB / 256GB Graphite with Windows 11 Home, Microsoft 365 Family 30-Day Trial & Xbox Game Pass Ultimate 30-Day Trial","1,32,990",,New,6,,,,,,Windows 11 Home
Zorbes Laptop Holder Desk With Silicone To Protect Notebook Vertical Laptop Stand Holder With Sizes Adjustable Dual Slots Laptop Dock Ipad Macbook Stand 13 Inch Stand Organizer Rack Tabletop,888,,Zorbes,6,,,,,,
ZedGear Microfiber Cleaning Polishing Cloth for Mobile Screen Camera Lense Tablets iPad Monitors Desktop Laptop Sunglasses and Other Glass Materials (Multi-Color) 6 x 7 Inches - Pack of 5,149,,ZedGear,6,,,,,,
"DYAZO 15"" to 15.6 Inch Laptop Sleeve/Cover with Handle & Two Front Accessories Pockets Compatible for Apple, Dell, Lenovo, Asus, Hp, Samsung, Mi, MacBook and Other Notbooks (Grey)",299,,DYAZO,6,,,,,,
"Wembley Educational Kids Laptop for 2-5 Years Boys Girls Computer Toys for 3 Years Fun Activity Learning Alphabet,Letter,Words,Games,Mathematics,Music,Logic Memory Tool - Blue",749,,Wembley,6,,,,,,
"Acer Aspire 3, 13th Gen, Intel Core i5-1334U Processor Laptop with 35.56 cm (14"") FHD LED-Backlit IPS Display (16GB RAM/512GB SSD/Intel Graphics/Win11Home) A324-53 Backlit Keyboard Steel Gray 1.45KG","44,990",,Acer,6,Intel Core i5-1334U Processor Laptop with 35,16 GB,512GB SSD,,,
"Primebook S 4G, 2025(New, WiFi+4G) Android Based MediaTek MT8788 - (PrimeOS) 4G SIM Slot, Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C, USB, HDMI, MicroSD) (4GB/128GB eMMC Storage, Black)","16,490",,Primebook,6,,,,,,
"Lenovo ThinkPad E14 AMD Ryzen 5 7535HS 14"" (35.56 cm) WUXGA IPS 300 Nits Thin and Light Laptop(16GB RAM/512GB SSD/Windows 11 Home/MS Office 2024/Backlit/Fingerprint/Graphite Black/1.42 kg), 21M3S0AJ00","55,990",N/A,Lenovo,7,AMD Ryzen 5 7535HS 14,16 GB,512GB SSD,,,Windows 11 Home
"Lenovo IdeaPad Pro 5 Intel Core Ultra 9 185H Built-in AI 14"" (35.5cm) 2.8K OLED 400Nits 120Hz Laptop (32GB RAM/1TB SSD/Windows 11/Office Home 2024/1Yr ADP Free/Grey/1.46Kg), 83D2004XIN","1,09,949",N/A,Lenovo,7,Intel Core Ultra 9 185H Built-in AI 14,32 GB,1TB SSD,,,Windows 11
"Dyazo 14.1 Inch Laptop Sleeve Case Cover With Handle And Two Front Pocket | Compatible For Lenovo, Hp, Dell, Asus, Acer & Other Notebooks (Grey)",299,,Dyazo,7,,,,,,
"Amazon Basics Laptop Bag Sleeve Case Cover Pouch for Men & Women | 14.1 Inch Laptop/MacBook, Office/College Laptop Bag | Side Handle | Multiple Pockets | Water Repellent | Shock Absorber (Grey)",223,,Amazon,7,,,,,,
"BAEYE Full Laptop Skin Stickers HD Quality Sticker for Laptops Upto 15.6"" (Dustproof|Waterproof|Scratchproof|Reusable) - BE GRAF BLDNG FL",221,,BAEYE,7,,,,,,
"Portronics Adapto 65C 65W Type C PD Super Fast Charger Adaptor for Laptop, Smartphone, iPads & Tablets, GaN Technology, Best for Samsung, iPhone, Nothing, iPads, MacBook, Type C Laptop(White)","1,419",,Portronics,7,,,,,,
Dyazo Laptop Cooling Pad |Laptop Stand with Cooling Fan | Adjustable Height 5 Step with Mobile Holder Compatible for All laptops & Notebook 11.6/13.3/14 / 15.6 inch - (Black),599,,Dyazo,7,,,,,,
OneAssist 2 Years Total Protection Plan for Laptop Between INR 30001-40000 (E-Mail Delivery Only),"1,799",,OneAssist,7,,,,,,
"Martucci Laptop Messenger Bag - Laptop Bag for Men, PU Leather Expandable,Multiple Organisers,Detachable Unisex Formal/Casual/Office Use Hand Bag,Supports Laptop Upto 15.6 inches (Tan)",698,,Martucci,7,,,,,,
"Zebronics, ZEB-NC3300 USB Powered Laptop Cooling Pad with Dual Fan, Dual USB Port and Blue LED Lights",499,,"Zebronics,",7,,,,,,
"Lenovo IdeaPad Slim 5 Intel Core Ultra 7 155H Built-in AI 16"" (40.64cm) WUXGA-IPS 300Nits Thin & Light Laptop (16GB/1TB SSD/Win 11/100% sRGB/MSO/1Yr ADP Free/3 Month Game Pass/Grey/1.8Kg), 83DC008VIN","86,990",,Lenovo,7,Intel Core Ultra 7 155H Built-in AI 16,,1TB SSD,,,
"Lenovo IdeaPad Slim 3 AMD Ryzen 3 7320U 14"" FHD Thin and Light Laptop (8 GB/512GB SDD/Windows 11 Home/Office Home & Student 2021/1Yr ADP Free/Arctic Grey/1.37Kg), 82XN006JIN","32,190",,Lenovo,7,AMD Ryzen 3 7320U 14,,,"14"" FHD",,Windows 11 Home
"Amazon Basics Laptop Bag Sleeve Case Cover Pouch for 15-Inch, 15.6-Inch Laptop for Men & Women | Slim Profile Neoprene, Soft Puffy Fabric Lining, 360° Protection, Smooth & Premium Zipper (Grey)",339,,Amazon,7,,,,,,
"Ambrane 85W Fast Charging Powerbank for MacBook, Type C Laptop & Mobile Charging, 20,000mAh Battery, Triple Output, Power Delivery & Quick Charge (Powerlit Ultra lite, Black)","3,799",,Ambrane,7,,,,,,
"Dell Laptop Charger 65W watt AC Power Adapter 7.4mm Tip, 19.5V 3.34A for Dell Latitude E5440 E5470 7480 E6540 E7440 E7450 E7250 E6440 E6430 7490 7290 5490 (Power Cord Included)","1,244",,Dell,7,,,,,,
"Ambrane 100W Fast Charging Powerbank for MacBook, Type C Laptop & Mobile Charging, 25,000mAh Battery, Triple Output, Power Delivery & Quick Charge (Powerlit Ultra, Black)","4,799",,Ambrane,7,,,,,,
"Mokobara The Em Laptop Sleeve Compatible with 14 & 15.6"" inch Laptop, MacBook & Notebook | Padded Laptop Compartment with Luggage Sleeve (14 Inch, We Meet Again Sunray (Limited Edition))","1,149",,Mokobara,7,,,,,,
Lenovo Original 65W 20V 3.25A Standard USB Type-C Ac Universal Adapter Charger for Smartphone,"1,319",,Lenovo,7,,,,,,
"100FIT 3 Pin Universal Power Cable for Laptop Charger Adapter - Replacement Cord (1.5M, Black)",148,,100FIT,7,,,,,,
"BARROT TV & Laptop Screen Cleaner (500ml) | Designed for LED/OLED/QLED/Plasma/LCD Displays | New Non-Alcohol Formula, Anti-Static, Safe for All Screens | Plush Microfiber Included",399,,BARROT,7,,,,,,
Lapcare HP Pavilion 15 Notebook PC 15-n100~299 HP Pavilion 15 TouchSmart Notebook PC 15-n200~299 HP Pavilion 14 Notebook PC 14-n100~299 HP Pavilion 14 TouchSmart Notebook PC 14-n200~299,"1,499",N/A,Lapcare,7,,,,,,
"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0072IN, Alexa Built-in, 3 mon. Game Pass Laptop","50,499",,Lenovo,8,Intel Core i5-12450H,16 GB,512GB SSD,,,Windows 11
"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 256GB SSD, Anti-Glare, Micro-Edge, 15.6-inch(39.6cm) FHD Laptop, Intel UHD Graphics, Full-Size KB (Win 11, Office 21, Silver, 1.69kg) fy5010tu","30,990",,HP,8,Intel Core i3-1215U,,256GB SSD,,Intel UHD Graphics,
"Logitech M221 Wireless Mouse, Silent Buttons, 2.4 GHz with USB Mini Receiver, 1000 DPI Optical Tracking, 18-Month Battery Life, Ambidextrous PC/Mac/Laptop - Black",629,,Logitech,8,,,,,,
DailyObjects Medium Stria Portable Laptop Sleeve | Durable Polyester | Compatible with Laptop/MacBook Air/Pro Upto 14 in | Water Resistant Fabric |Padded Compartment with Zip Closure - Carbon Black,"1,199",,DailyObjects,8,,,,,,
"MOCA 15-16 Inch laptops 360° Waterproof Material Laptop Sleeve Case with Anti-Collision Protection, Full Velvet Interior, Dark Grey","1,299",,MOCA,8,,,,,,
"Lenovo Tab Plus with Octa JBL Hi-Fi Speakers| 8 GB RAM, 128 GB ROM| 11.5 Inch, 2K, 90 Hz Refresh| Wi-Fi Tablet| Android 14| 45 W Fast Charger| Built-in Kickstand| Color: Luna Grey","18,998",,Lenovo,8,,8 GB,,,,
"NISHTECH 3 Pin Laptop Power Cable Universal Replacement for Laptop Charger Adapter Power Cord for Laptop - (1.5M, Black)",148,,NISHTECH,8,,,,,,
"smashtronics - Adjustable Aluminum Laptop Stand - Foldable, Ventilated, Portable Stand for Desk & Tabletop, Compatible for 13-15 inch Laptops, Comes with Carry Pouch (Silver)",379,,smashtronics,8,,,,,,
"HP 65W USB C Laptop Charger AC Adapter Replacement for HP Spectre X360,Spectre,Elitebook x360,Elitebook,Envy,Chromebook,Elite x2,ProBook Travel Type C (Fit with 3 Pin Power Cable)","1,990",,HP,8,,,,,,
"Gizga Essentials 15.6 Inch Laptop Sleeve Case Cover Pouch Bag with Handle & Front Pocket| Slim & Water-Resistant Nylon Fabric with Shockproof Foam Padding, Soft Lining & Premium Zipper Closure (Grey)",289,,Gizga,8,,,,,,
"Lenovo IdeaPad 3, Intel Core i3-1215U, 12th Gen, 8GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MSOffice 2021, Arctic Grey, 1.43Kg, 82RJ00FUIN, 1 Year Warranty, 3months Game Pass, Thin& Light Laptop","32,990",,Lenovo,8,Intel Core i3-1215U,8 GB,512GB SSD,,,Windows 11
"MSI Modern 14, Intel 12Th Gen. I7-1255U, 36Cm FHD 60Hz Laptop(16GB/512GB NVME SSD/Windows 11 Home/Bluetooth/Mso 2021/Intel Iris Xe Graphics/Classic Black/1.4Kg), C12MO-1211IN","45,990",,MSI,8,,,,,Intel Iris Xe Graphics,Windows 11 Home
"Ceptics 200W Car Laptop Charger/car Inverter with 2X Universal Outlet with SmartVoltage™ Technology, 12V DC to 220V-AC with 18 Months Warranty, 18W 2 USB-A, 2 USB-C with 18W QC 3.0 - Grey","2,149",,Ceptics,8,,,,,,
Gear Classic 20L Small Faux Leather Water Resistant Anti Theft 3 Compartment Laptop Backpack/Office Backpack for Men/Women,809,,Gear,8,,,,,,
"Maxelon Power Cable & Dell Original 65W USB Type-C Adapter for Laptop, Latitude 5289 5290 7389 7390 7400- Black","1,849",,Maxelon,8,,,,,,
DailyObjects Medium Stria Portable Laptop Sleeve |Durable Polyester |Compatible with Laptop/MacBook Air/Pro Upto 14 Inch |Lightweight Water Resistant Fabric |Padded Compartment with Zip Closure- Green,"1,199",,DailyObjects,8,,,,,,
"Portronics Ampbox 27K 65W 27000 mAh 4-in-1 Fast Charging Nano Power Bank with 2 Type C PD Output Ports & 2 Mach USB Output Ports Compatible with Laptop, Android Smartphones, iPhones, iPad, Tablet","3,499",,Portronics,8,,,,,,
Microsoft New Surface Pro (11th Edition) - Windows 11 Home Copilot + PC - 13” OLED PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 16GB RAM - 1TB SSD - Black - ZIB-00031,"1,80,990",,Microsoft,8,,16 GB,1TB SSD,,,Windows 11 Home
Crucial RAM 8GB DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Laptop Memory CT8G4SFRA32A,"1,409",,Crucial,8,,,,,,
"Elfora Electronic 20 in 1 Cleaning Kit| Multifunction Tool Kit with Screen Cleaning Cloth, Brush, Key Puller, Spray Bottle| Cleaner Kit for PC, Laptop, iPhone, iPad, MacBook, Airpod & Keyboard(Black)",529,,Elfora,8,,,,,,
"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0072IN, Alexa Built-in, 3 mon. Game Pass Laptop","50,499",,Lenovo,9,Intel Core i5-12450H,16 GB,512GB SSD,,,Windows 11
"Lenovo IdeaPad Slim 3, Intel Core i3, 12th Gen, 8GB RAM, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, Office Home 2024, Arctic Grey, 1.63Kg, 82RK01ABIN, Intel UHD Graphics, 1Yr ADP Free Laptop","33,990",,Lenovo,9,Intel Core i3,8 GB,512GB SSD,,Intel UHD Graphics,Windows 11
"Ant Esports NC210 Gaming Notebook Cooler with 6 Cooling Fans for 10"" - 15.6"" Laptops, RGB Lights, 2 USB Ports","1,099",,Ant,9,,,,,,
"CodersParadise - Pack of 51 Laptop Vinyl Self-Adhesive Sticker for Programmer, Coder, Developer, IT Professional - Multicolor Stickers for Laptop, Journal, Guitar, Mobile - Waterproof Residue Free",249,,CodersParadise,9,,,,,,
"Oblivion Mini USB LED Desk Light 5Pc – Adjustable Bendable Portable Lamp for Power Bank, Laptop Use, Energy-Saving Combo Pack with Light White Color, Eye Protection for Night Reading & Bedroom Work",148,,Oblivion,9,,,,,,
"Gizga Essentials Universal Silicone Keyboard Protector Skin for 15.6 Inch Laptop |Keyboard Dust Cover | 15.6"" Keyguard (36.5 X 13.5 Cm)",99,,Gizga,9,,,,,,
Crucial RAM 16GB DDR4 3200 MHz CL22 Laptop Memory CT16G4SFRA32A,"2,669",,Crucial,9,,,,,,
"Dyazo ABS Plastic Laptop Stand Height & Angle Adjustable | Foldable | Portable | Laptops Raiser Compatible for MacBook, Lenovo, HP, Dell & Other notebooks Upto 15.6 inch (Black)",279,,Dyazo,9,,,,,,
HARISSONS Laptop & Mobile Travel Friendly Charger Pouch Organizer for Men & Women | Water Repellent & Weatherproof with Multiple Compartments (Dark Grey),199,,HARISSONS,9,,,,,,
"Gift Kya De Laptop Stand, Tablet Stand, Mobile, and Power Bank, All in One Multi Device Charging Station and Organizer, Wooden Vertical Laptop Stand Holder - Dark Wood",505,,Gift,9,,,,,,
"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 256GB SSD, Anti-Glare, Micro-Edge, 15.6-inch(39.6cm) FHD Laptop, Intel UHD Graphics, Full-Size KB (Win 11, Office 21, Silver, 1.69kg) fy5010tu","30,990",,HP,9,Intel Core i3-1215U,,256GB SSD,,Intel UHD Graphics,
"MSI Modern 14, Intel 12Th Gen. I7-1255U, 36Cm FHD 60Hz Laptop(16GB/512GB NVME SSD/Windows 11 Home/Bluetooth/Mso 2021/Intel Iris Xe Graphics/Classic Black/1.4Kg), C12MO-1211IN","45,990",,MSI,9,,,,,Intel Iris Xe Graphics,Windows 11 Home
"PLIXIO Aluminum Tabletop Laptop Stand Ergonomic Foldable Portable Laptop Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Sliver)","1,999",,PLIXIO,9,,,,,,
"PLIXIO Aluminum Tabletop Laptop Stand Ergonomic Foldable Portable Laptop Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Sliver)","1,499",,PLIXIO,9,,,,,,
Dell Original 65W 19.5v 4.5mm Pin Laptop AC Adapter-Black Without Power Cord (Part Code MGJN9),"1,399",,Dell,9,,,,,,
"Ant Esports GP110 Wired Gamepad, Compatible for PC & Laptop Computer (Windows 10/8 /7) / PS3 / Android",889,,Ant,9,,,,,,Windows 10
Lenovo Plastic Gx21M75594 45W Laptop Adapter/Charger with Power Cord for Select Models of Lenovo (Round Pin),"1,189",,Lenovo,9,,,,,,
"Gooyo 2011A Battery Operated Educational Learning Laptop Toy with LED Display and Music Effect | Babies/Girls/Boys/Toddlers, Power Source: 3xAA Battery (Not Included)",369,,Gooyo,9,,,,,,
OneAssist 2 Years Total Protection Plan for Laptop Between INR 40001-50000 (E-Mail Delivery Only),"2,299",,OneAssist,9,,,,,,
"1080P Webcam with Microphone, eMeet C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop","3,490",,1080P,9,,,,,,
"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0072IN, Alexa Built-in, 3 mon. Game Pass Laptop","50,499",,Lenovo,10,Intel Core i5-12450H,16 GB,512GB SSD,,,Windows 11
"Lenovo IdeaPad Slim 3, Intel Core i3, 12th Gen, 8GB RAM, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, Office Home 2024, Arctic Grey, 1.63Kg, 82RK01ABIN, Intel UHD Graphics, 1Yr ADP Free Laptop","33,990",,Lenovo,10,Intel Core i3,8 GB,512GB SSD,,Intel UHD Graphics,Windows 11
Amazon Basics 14-inches Laptop sleeve (Black),359,,Amazon,10,,,,,,
"MiniExplorer Educational Computer Laptop Toy for Kids with Mouse |Toys for 2 - 5 Years Old Boys Girls| Learning Activity Alphabet, Letter, Words, Games & Music, Mathematics Logical Memory Tool - Blue",790,,MiniExplorer,10,,,,,,
65W Laptop Charger for DELL Latitude E5470 7480 7490 E7250 3300 3380 5280 5480 5490 E5440 E5470 E6540 E7440 E7450 E7250 E6440 E6430 7290 5490 5590 5290 19.5V 3.34A AC Adapter (with Power Cable),"1,499",,65W,10,,,,,,
"Elton Van Gogh Starry Night Theme 3M Skin Case Vinyl Laptop Skin Case Sticker Reusable Protector Cover Case for 11.6"" -15.6"" Inch Acer Leonovo Sony Asus Toshiba Hp Samsung Dell",189,,Elton,10,,,,,,
"Brand Conquer 7 in 1 Multi-Function Laptop Cleaning Brush/Keyboard Cleaning kit/Gadget Cleaning kit Gap Duster Key-Cap Puller for Laptop,Monitor,Keyboard and Earphones with Spray Bottle",197,,Brand,10,,,,,,
amazon basics Vertical Laptop Stand | Space-Saving Design | Scratch-Resistant | Fits All Laptops Up to 17.3 inches (43.94cm),799,,amazon,10,,,,,,
"LAXIS Laptop Sleeve Case Cover Pouch, Nylon Laptop Sleeve with Handle Fit Upto 15.6"" Laptops, Padded, Waterproof & Dust-Proof (Size 38x27x4 cm), Laptop Hand Bag for Men & Women",149,,LAXIS,10,,,,,,
"Ambrane 65W Charger Adapter, 3 Ports - 2 Type C & 1 USB for Samsung, Type C Laptops: MacBook, Dell, HP, ASUS, Fast Charger with PD Technology & GaN Technology for All Devices (RAAP G65, Black)","1,840",,Ambrane,10,,,,,,
"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 256GB SSD, Anti-Glare, Micro-Edge, 15.6-inch(39.6cm) FHD Laptop, Intel UHD Graphics, Full-Size KB (Win 11, Office 21, Silver, 1.69kg) fy5010tu","30,990",,HP,10,Intel Core i3-1215U,,256GB SSD,,Intel UHD Graphics,
